Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Pin sockets ","For Connection",2,0.23,"https://robu.in/product/2-54mm-1x40-pin-female-single-row-header-strip-pack-of-10/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcDnSG1W03jzKTevOWL8dN2p&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALX20xFlt0RmoXuB9i_yK7OUUR2WnBMqRG3gxyZI7rpIPSGggEMj21IaArfPEALw_wcB","robu"
"JST wire connectors","For the connector",4,1.48,"https://robu.in/product/jst-xh-2-54mm-4-pin-female-housing-connector/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcDnSG1W03jzKTevOWL8dN2p&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALUnnn0kQXRptaygshQrHQ4GrH1CIv3uZGoWrwIsDPDtzLKa8ZbZNrYaAharEALw_wcB","robu"
"JST 4-pin connectors","For Connection",12,1.65,"https://robu.in/product/4-pin-jst-xh-2-54mm-pitch-plug-and-socket-with-cable-5-pcs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcDnSG1W03jzKTevOWL8dN2p&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALV4Xu0R33MjW3TKi27UxTtMEh1mtRsRt6O31JcNEVRwyYGgDxC2bvwaAgyDEALw_wcB","robu"
"JST 3-pin connectors","For the Connection",12,1.52,"https://robu.in/product/3-pin-jst-xh-2-54mm-pitch-plug-and-socket-with-cable-10-pcs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWcDnSG1W03jzKTevOWL8dN2p&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALU-dsrENM3SdUrZCwZBL3aZIpX9c0CSFuw2bAay0t50bo2HKV8WC-kaAuSFEALw_wcB","robu"
" Endstop Switch","For the limit end",6,2.99,"https://robu.in/product/cnc-3d-printer-mech-endstop-switch/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfUAYtwwMgGkSrCg8TecyWiB&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALUVEq41N6LTqOY71-i7_OoxQ-DZz-_zx7lWjRimkFltpGfYirkDhusaAn3wEALw_wcB","robu"
"A4988 driver Stepper Motor Driver","For the CNC Shield",3,3.97,"https://robu.in/product/a4988-driver-stepper-motor-driver/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWekgUWdD-yQKIKT9ar2w3e5v&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALXFLRpgExZwVO6s8_gYb_4l5NbCSciVEsRpVqOt-dY6pDRS95jUgwAaAlgnEALw_wcB","robu"
"GT2 5mm Bore Aluminum Pulley Without Teeth","For the belt to move ",8,6.12,"https://www.flyrobo.in/gt2-5mm-bore-aluminum-pulley-without-20-teeth-for-6mm-belt?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE_NECiWtmL3gzgQd0fCbk3-i&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALWtWxK-a4f3lJ1uvLOhbUf1l0i_MyVL6cz27qdDOn1AG1Hd2MrKTOIaAipLEALw_wcB","flyrobo"
"GT2 Pulley 20 Teeth 5mm for 6mm","For drive the belt ",4,1.08,"https://robu.in/product/gt2-6mm-belt-width-20-teeth-5mm-bore-timing-pulley/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfUAYtwwMgGkSrCg8TecyWiB&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALXdWwLET5uyaohu0XNnp_Y0dAzfNmrIErzMyo2Ps2MA2Qm8VsP0euEaAr56EALw_wcB","robu"
"SG90 Servo Motor","For the Pen Movement",1,1.55,"https://robu.in/product/towerpro-sg90-9gm-1-2kg-180-degree-rotation-servo-motor-good-quality/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWekgUWdD-yQKIKT9ar2w3e5v&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALUAwgs-BqwCSTB2tglRx1_5u7uQHVODmnASf51Fq6CcfjZDI1z5pcMaArlFEALw_wcB","robu"
"CNC Shield V3","CNC Control Boa",1,1.60,"https://www.flyrobo.in/cnc-shield-v3-for-engraving-machine-3d-printer-a4988-drv8825-driver-expansion-board?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE_NECiWtmL3gzgQd0fCbk3-i&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALXV9eErA8kUFejMuU87Y4kiCu4ZusP3GRvG_vjaQbks1Pe8SIi0RD4aAskkEALw_wcB","flyrobo"
"Arduino Uno","The Main Board",1,2.28,"https://robu.in/product/arduino-uno-r3-ch340g-atmega328p-devlopment-board/?gad_source=1&gad_campaignid=17413441824&gbraid=0AAAAADvLFWdfI1XB-KkKXV0RB4QUU0TIl&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALUwC76VBNjlEC_UhJ4AEnzJoZIEqQEkTVERvXjqXoYtZt-cnzrkl68aAu-wEALw_wcB","robu"
"GT2 Timing Belt 6mm","For Gantry System",1,6.66,"https://robu.in/product/10m-gt2-width-6mm-white-open-timing-belt-for-3d-printer/?gad_source=1&gad_campaignid=20387462343&gbraid=0AAAAADvLFWfUAYtwwMgGkSrCg8TecyWiB&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALW559IxzQVHFMmQXSUs8_ur-759EhIaRUzT6NXlhkmG7l5hYcAz2uoaAm_jEALw_wcB","robu"
"V-Slot Idler Pulley","For Gantry System",14,9.20,"https://www.flyrobo.in/openbuilds-plastic-wheel-idler-pulley?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE_NECiWtmL3gzgQd0fCbk3-i&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALVZydW5oqzWb8p7Mpcs0WUBl-bKHlFv_qlc160ZvSgCLvOsrBOlTxsaAnJIEALw_wcB","flyrobo"
"Nema 17 Bipolar Stepper Motor","The Main Motor",3,40.90,"https://robu.in/product/fulling-fl42sth38-1684a-nema-17-stepper-motor/","robu"
"2020 Aluminium Extrusion ","For the Frame",5,37.09,"https://robu.in/product/easymech-20x20-t-slot-aluminium-extrusion-profile-1500-mm/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWeV6_fecEXW7yD2KwMGyNReC&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALW-4mr0xMai9GUFMWCMWb8fglqwupc6Pt-b0wQmlohO40K5rTqcSpEaAnUyEALw_wcB","robu"
